measurement_id,station_id,measurement_date,mode,pressure,flow,temperature,vibration
1,101,2024-01-01,normal,61.29,1128.69,-0.38,0.568
2,101,2024-01-02,stress,64.48,1128.6,-2.31,1.282
3,101,2024-01-03,peak,64.03,1184.1,-2.38,0.757
4,101,2024-01-04,peak,64.04,1278.34,-2.35,0.723
5,101,2024-01-05,normal,60.85,1069.86,-4.01,0.598
6,101,2024-01-06,normal,61.49,1144.7,-2.38,0.657
7,101,2024-01-07,peak,62.87,1265.93,-2.82,0.728
8,101,2024-01-08,normal,59.95,1137.18,-2.31,0.649
9,101,2024-01-09,normal,61.88,1144.05,-1.41,0.625
10,101,2024-01-10,peak,61.1,1193.84,-4.01,0.693
11,101,2024-01-11,stress,64.14,1139.52,1.85,1.179
12,101,2024-01-12,peak,62.14,1241.13,-3.0,0.73
13,101,2024-01-13,normal,59.4,1135.48,-0.28,0.616
14,101,2024-01-14,stress,65.28,1133.87,-0.19,1.205
15,101,2024-01-15,peak,62.88,1210.11,-0.19,0.76
16,101,2024-01-16,normal,62.38,1132.55,2.75,0.583
17,101,2024-01-17,normal,60.28,1104.16,-3.38,0.683
18,101,2024-01-18,normal,59.59,1080.35,0.46,0.694
19,101,2024-01-19,normal,64.82,1134.64,-2.28,0.534
20,101,2024-01-20,normal,60.45,1103.05,-1.32,0.64
21,101,2024-01-21,stress,65.52,1147.73,-2.12,1.112
22,101,2024-01-22,peak,63.53,1315.86,0.58,0.802
23,101,2024-01-23,repair,57.19,901.9,-1.16,1.115
24,101,2024-01-24,stress,66.25,1119.15,2.63,1.228
25,101,2024-01-25,normal,61.37,1093.45,1.71,0.623
26,101,2024-01-26,normal,60.07,1124.76,4.36,0.657
27,101,2024-01-27,stress,65.93,1202.67,1.52,1.183
28,101,2024-01-28,normal,62.22,1176.24,1.6,0.581
29,101,2024-01-29,normal,63.66,1183.2,0.97,0.627
30,101,2024-01-30,peak,62.1,1213.51,2.95,0.727
31,101,2024-01-31,normal,61.43,1130.13,4.8,0.653
32,101,2024-02-01,peak,61.14,1245.24,0.02,0.681
33,101,2024-02-02,normal,61.33,1151.66,-0.87,0.65
34,101,2024-02-03,normal,62.12,1098.22,1.51,0.703
35,101,2024-02-04,peak,65.07,1240.49,0.88,0.74
36,101,2024-02-05,peak,63.63,1204.89,2.8,0.761
37,101,2024-02-06,repair,60.9,903.39,2.16,0.918
38,101,2024-02-07,stress,66.09,1196.35,1.38,1.171
39,101,2024-02-08,normal,61.36,1074.85,2.01,0.6
40,101,2024-02-09,peak,61.41,1189.15,8.06,0.677
41,101,2024-02-10,peak,66.08,1325.0,1.0,0.736
42,101,2024-02-11,normal,63.58,1076.73,3.24,0.691
43,101,2024-02-12,normal,61.28,1108.8,0.96,0.635
44,101,2024-02-13,normal,61.94,1092.41,5.23,0.704
45,101,2024-02-14,normal,62.16,1115.16,4.41,0.609
46,101,2024-02-15,normal,61.9,1192.29,8.08,0.669
47,101,2024-02-16,normal,60.64,1157.62,5.41,0.675
48,101,2024-02-17,normal,62.9,1129.21,2.61,0.622
49,101,2024-02-18,stress,65.73,1135.42,5.05,1.191
50,101,2024-02-19,normal,63.3,1013.55,4.98,0.658
51,101,2024-02-20,normal,61.19,1043.89,6.45,0.743
52,101,2024-02-21,normal,62.78,1097.7,5.82,0.59
53,101,2024-02-22,normal,63.4,1131.86,9.99,0.713
54,101,2024-02-23,peak,65.82,1255.93,8.23,0.739
55,101,2024-02-24,peak,63.09,1276.37,4.05,0.791
56,101,2024-02-25,stress,66.0,1187.77,8.53,1.306
57,101,2024-02-26,normal,60.06,1105.21,4.54,0.62
58,101,2024-02-27,peak,64.45,1210.68,5.13,0.752
59,101,2024-02-28,peak,63.07,1248.57,10.14,0.782
60,101,2024-02-29,normal,62.26,1108.91,8.75,0.737
61,101,2024-03-01,peak,63.22,1258.09,4.61,0.829
62,101,2024-03-02,peak,64.74,1213.38,10.12,0.81
63,101,2024-03-03,stress,66.14,1149.78,6.68,1.199
64,101,2024-03-04,normal,62.5,1141.93,6.5,0.641
65,101,2024-03-05,peak,62.9,1202.11,9.52,0.795
66,101,2024-03-06,normal,63.58,1135.32,11.17,0.679
67,101,2024-03-07,stress,65.39,1061.03,13.1,1.179
68,101,2024-03-08,normal,63.31,1040.67,7.07,0.56
69,101,2024-03-09,normal,62.54,1120.86,10.69,0.571
70,101,2024-03-10,repair,59.18,902.39,11.34,1.037
71,101,2024-03-11,repair,58.37,924.94,12.26,1.011
72,101,2024-03-12,normal,61.16,1092.22,11.28,0.693
73,101,2024-03-13,repair,59.75,908.3,10.84,1.044
74,101,2024-03-14,peak,62.25,1171.42,6.22,0.711
75,101,2024-03-15,stress,65.62,1139.6,14.01,1.278
76,101,2024-03-16,normal,61.3,1147.85,12.07,0.602
77,101,2024-03-17,normal,60.21,1061.99,11.34,0.692
78,101,2024-03-18,repair,57.6,929.99,10.1,1.024
79,101,2024-03-19,stress,63.95,1164.65,11.31,1.169
80,101,2024-03-20,repair,58.45,929.94,12.48,1.016
81,101,2024-03-21,normal,63.52,1079.96,9.91,0.707
82,101,2024-03-22,peak,65.29,1236.85,13.13,0.773
83,101,2024-03-23,normal,64.45,1094.2,14.03,0.709
84,101,2024-03-24,normal,62.44,1089.87,14.62,0.602
85,101,2024-03-25,normal,59.55,1047.67,13.18,0.632
86,101,2024-03-26,normal,63.22,1052.85,15.21,0.626
87,101,2024-03-27,peak,64.27,1242.21,13.96,0.808
88,101,2024-03-28,normal,62.39,1186.65,15.45,0.727
89,101,2024-03-29,stress,66.65,1120.05,14.84,1.166
90,101,2024-03-30,normal,61.18,1111.76,17.86,0.668
91,101,2024-03-31,normal,62.56,1073.99,17.78,0.547
92,101,2024-04-01,normal,59.68,1028.16,18.98,0.697
93,101,2024-04-02,peak,61.91,1101.56,15.03,0.881
94,101,2024-04-03,stress,65.41,1136.13,13.04,1.188
95,101,2024-04-04,peak,64.0,1242.75,17.49,0.785
96,101,2024-04-05,normal,63.32,1143.84,14.84,0.599
97,101,2024-04-06,repair,59.07,954.52,16.25,1.078
98,101,2024-04-07,peak,64.49,1269.87,16.68,0.698
99,101,2024-04-08,stress,66.33,1055.15,19.12,1.178
100,101,2024-04-09,peak,61.16,1178.99,14.25,0.703
101,101,2024-04-10,peak,63.77,1198.48,17.85,0.759
102,101,2024-04-11,normal,62.98,1102.52,19.29,0.679
103,101,2024-04-12,stress,68.33,1108.25,18.01,1.174
104,101,2024-04-13,stress,64.46,1077.02,18.76,1.218
105,101,2024-04-14,peak,63.23,1239.22,20.78,0.739
106,101,2024-04-15,repair,59.94,901.39,16.2,0.994
107,101,2024-04-16,normal,61.07,1080.68,16.42,0.722
108,101,2024-04-17,normal,61.84,1086.51,14.55,0.585
109,101,2024-04-18,stress,64.85,1134.07,24.47,1.137
110,101,2024-04-19,normal,62.55,1132.37,17.61,0.662
111,101,2024-04-20,peak,61.94,1151.7,19.59,0.72
112,101,2024-04-21,repair,59.59,822.16,21.88,0.966
113,101,2024-04-22,normal,61.29,1044.64,22.16,0.69
114,101,2024-04-23,normal,60.2,1088.51,18.91,0.661
115,101,2024-04-24,peak,64.4,1166.65,18.57,0.789
116,101,2024-04-25,normal,61.53,1121.68,20.64,0.65
117,101,2024-04-26,normal,61.4,1083.68,20.64,0.626
118,101,2024-04-27,peak,62.48,1103.33,25.57,0.888
119,101,2024-04-28,normal,59.79,1052.46,21.6,0.638
120,101,2024-04-29,normal,62.78,1083.43,19.14,0.687
121,101,2024-04-30,repair,59.5,869.93,22.31,1.032
122,101,2024-05-01,repair,57.84,816.24,23.18,0.977
123,101,2024-05-02,normal,62.04,1124.64,20.58,0.681
124,101,2024-05-03,normal,61.05,1067.26,25.87,0.63
125,101,2024-05-04,repair,59.27,845.49,22.63,0.994
126,101,2024-05-05,normal,60.22,1077.37,22.42,0.507
127,101,2024-05-06,peak,64.15,1161.19,20.85,0.795
128,101,2024-05-07,normal,64.8,1073.57,24.78,0.642
129,101,2024-05-08,normal,62.87,1104.45,22.95,0.624
130,101,2024-05-09,normal,63.08,1113.11,23.26,0.625
131,101,2024-05-10,normal,61.82,1091.64,19.48,0.603
132,101,2024-05-11,normal,59.29,1018.14,22.59,0.637
133,101,2024-05-12,normal,61.68,1014.89,24.63,0.706
134,101,2024-05-13,peak,62.9,1204.59,24.43,0.784
135,101,2024-05-14,normal,62.75,1013.35,25.04,0.637
136,101,2024-05-15,normal,60.23,1078.06,24.44,0.592
137,101,2024-05-16,normal,63.23,964.66,22.07,0.597
138,101,2024-05-17,normal,62.35,1079.83,23.0,0.587
139,101,2024-05-18,peak,63.97,1200.86,25.23,0.764
140,101,2024-05-19,normal,62.91,1080.02,22.21,0.525
141,101,2024-05-20,normal,63.28,1009.93,21.82,0.654
142,101,2024-05-21,stress,67.94,1102.7,25.22,1.165
143,101,2024-05-22,normal,61.55,1008.88,30.66,0.746
144,101,2024-05-23,normal,60.92,1079.32,27.68,0.673
145,101,2024-05-24,normal,62.69,1074.33,27.79,0.667
146,101,2024-05-25,normal,61.97,1024.47,23.69,0.741
147,101,2024-05-26,peak,65.36,1184.71,29.58,0.754
148,101,2024-05-27,normal,60.63,1059.51,26.84,0.577
149,101,2024-05-28,normal,61.96,1112.15,28.78,0.649
150,101,2024-05-29,stress,65.76,1070.57,24.52,1.197
151,101,2024-05-30,normal,60.43,1062.14,27.85,0.55
152,101,2024-05-31,normal,63.07,1082.41,29.34,0.65
153,101,2024-06-01,peak,62.5,1184.72,28.0,0.819
154,101,2024-06-02,peak,63.39,1123.81,26.54,0.76
155,101,2024-06-03,normal,61.13,1050.17,26.21,0.614
156,101,2024-06-04,stress,65.24,1084.33,27.98,1.14
157,101,2024-06-05,normal,63.43,995.39,22.79,0.546
158,101,2024-06-06,stress,65.67,1069.59,30.18,1.058
159,101,2024-06-07,stress,67.35,1030.72,26.73,1.17
160,101,2024-06-08,stress,65.42,1127.35,31.66,1.185
161,101,2024-06-09,repair,59.08,924.28,27.46,1.005
162,101,2024-06-10,normal,65.45,1069.54,26.15,0.707
163,101,2024-06-11,repair,58.45,891.28,27.82,1.014
164,101,2024-06-12,normal,62.1,1052.47,23.52,0.685
165,101,2024-06-13,normal,60.04,1033.68,28.0,0.61
166,101,2024-06-14,normal,60.14,1020.03,26.55,0.646
167,101,2024-06-15,normal,60.55,1062.62,28.0,0.544
168,101,2024-06-16,normal,61.65,1026.32,27.65,0.647
169,101,2024-06-17,stress,66.54,1027.12,25.31,1.148
170,101,2024-06-18,normal,63.07,1017.6,22.39,0.554
171,101,2024-06-19,peak,62.8,1148.12,27.99,0.731
172,101,2024-06-20,stress,64.64,1035.53,28.95,1.116
